dataset,instancia,n,W,archivo
muchos,0,3,5000,instancias/muchos/n3_0.in
muchos,1,3,5000,instancias/muchos/n3_1.in
muchos,2,3,5000,instancias/muchos/n3_2.in
muchos,3,3,5000,instancias/muchos/n3_3.in
muchos,4,3,5000,instancias/muchos/n3_4.in
muchos,5,3,5000,instancias/muchos/n3_5.in
muchos,6,3,5000,instancias/muchos/n3_6.in
muchos,7,3,5000,instancias/muchos/n3_7.in
muchos,8,3,5000,instancias/muchos/n3_8.in
muchos,9,3,5000,instancias/muchos/n3_9.in
muchos,10,3,5000,instancias/muchos/n3_10.in
muchos,11,3,5000,instancias/muchos/n3_11.in
muchos,12,3,5000,instancias/muchos/n3_12.in
muchos,13,3,5000,instancias/muchos/n3_13.in
muchos,14,3,5000,instancias/muchos/n3_14.in
muchos,15,3,5000,instancias/muchos/n3_15.in
muchos,16,3,5000,instancias/muchos/n3_16.in
muchos,17,3,5000,instancias/muchos/n3_17.in
muchos,18,3,5000,instancias/muchos/n3_18.in
muchos,19,3,5000,instancias/muchos/n3_19.in
muchos,20,3,5000,instancias/muchos/n3_20.in
muchos,21,3,5000,instancias/muchos/n3_21.in
muchos,22,3,5000,instancias/muchos/n3_22.in
muchos,23,3,5000,instancias/muchos/n3_23.in
muchos,24,3,5000,instancias/muchos/n3_24.in
muchos,25,3,5000,instancias/muchos/n3_25.in
muchos,26,3,5000,instancias/muchos/n3_26.in
muchos,27,3,5000,instancias/muchos/n3_27.in
muchos,28,3,5000,instancias/muchos/n3_28.in
muchos,29,3,5000,instancias/muchos/n3_29.in
muchos,30,3,5000,instancias/muchos/n3_30.in
muchos,31,3,5000,instancias/muchos/n3_31.in
muchos,32,3,5000,instancias/muchos/n3_32.in
muchos,33,3,5000,instancias/muchos/n3_33.in
muchos,34,3,5000,instancias/muchos/n3_34.in
muchos,35,3,5000,instancias/muchos/n3_35.in
muchos,36,3,5000,instancias/muchos/n3_36.in
muchos,37,3,5000,instancias/muchos/n3_37.in
muchos,38,3,5000,instancias/muchos/n3_38.in
muchos,39,3,5000,instancias/muchos/n3_39.in
muchos,40,3,5000,instancias/muchos/n3_40.in
muchos,41,3,5000,instancias/muchos/n3_41.in
muchos,42,3,5000,instancias/muchos/n3_42.in
muchos,43,3,5000,instancias/muchos/n3_43.in
muchos,44,3,5000,instancias/muchos/n3_44.in
muchos,45,3,5000,instancias/muchos/n3_45.in
muchos,46,3,5000,instancias/muchos/n3_46.in
muchos,47,3,5000,instancias/muchos/n3_47.in
muchos,48,3,5000,instancias/muchos/n3_48.in
muchos,49,3,5000,instancias/muchos/n3_49.in
muchos,0,5,5000,instancias/muchos/n5_0.in
muchos,1,5,5000,instancias/muchos/n5_1.in
muchos,2,5,5000,instancias/muchos/n5_2.in
muchos,3,5,5000,instancias/muchos/n5_3.in
muchos,4,5,5000,instancias/muchos/n5_4.in
muchos,5,5,5000,instancias/muchos/n5_5.in
muchos,6,5,5000,instancias/muchos/n5_6.in
muchos,7,5,5000,instancias/muchos/n5_7.in
muchos,8,5,5000,instancias/muchos/n5_8.in
muchos,9,5,5000,instancias/muchos/n5_9.in
muchos,10,5,5000,instancias/muchos/n5_10.in
muchos,11,5,5000,instancias/muchos/n5_11.in
muchos,12,5,5000,instancias/muchos/n5_12.in
muchos,13,5,5000,instancias/muchos/n5_13.in
muchos,14,5,5000,instancias/muchos/n5_14.in
muchos,15,5,5000,instancias/muchos/n5_15.in
muchos,16,5,5000,instancias/muchos/n5_16.in
muchos,17,5,5000,instancias/muchos/n5_17.in
muchos,18,5,5000,instancias/muchos/n5_18.in
muchos,19,5,5000,instancias/muchos/n5_19.in
muchos,20,5,5000,instancias/muchos/n5_20.in
muchos,21,5,5000,instancias/muchos/n5_21.in
muchos,22,5,5000,instancias/muchos/n5_22.in
muchos,23,5,5000,instancias/muchos/n5_23.in
muchos,24,5,5000,instancias/muchos/n5_24.in
muchos,25,5,5000,instancias/muchos/n5_25.in
muchos,26,5,5000,instancias/muchos/n5_26.in
muchos,27,5,5000,instancias/muchos/n5_27.in
muchos,28,5,5000,instancias/muchos/n5_28.in
muchos,29,5,5000,instancias/muchos/n5_29.in
muchos,30,5,5000,instancias/muchos/n5_30.in
muchos,31,5,5000,instancias/muchos/n5_31.in
muchos,32,5,5000,instancias/muchos/n5_32.in
muchos,33,5,5000,instancias/muchos/n5_33.in
muchos,34,5,5000,instancias/muchos/n5_34.in
muchos,35,5,5000,instancias/muchos/n5_35.in
muchos,36,5,5000,instancias/muchos/n5_36.in
muchos,37,5,5000,instancias/muchos/n5_37.in
muchos,38,5,5000,instancias/muchos/n5_38.in
muchos,39,5,5000,instancias/muchos/n5_39.in
muchos,40,5,5000,instancias/muchos/n5_40.in
muchos,41,5,5000,instancias/muchos/n5_41.in
muchos,42,5,5000,instancias/muchos/n5_42.in
muchos,43,5,5000,instancias/muchos/n5_43.in
muchos,44,5,5000,instancias/muchos/n5_44.in
muchos,45,5,5000,instancias/muchos/n5_45.in
muchos,46,5,5000,instancias/muchos/n5_46.in
muchos,47,5,5000,instancias/muchos/n5_47.in
muchos,48,5,5000,instancias/muchos/n5_48.in
muchos,49,5,5000,instancias/muchos/n5_49.in
muchos,0,10,5000,instancias/muchos/n10_0.in
muchos,1,10,5000,instancias/muchos/n10_1.in
muchos,2,10,5000,instancias/muchos/n10_2.in
muchos,3,10,5000,instancias/muchos/n10_3.in
muchos,4,10,5000,instancias/muchos/n10_4.in
muchos,5,10,5000,instancias/muchos/n10_5.in
muchos,6,10,5000,instancias/muchos/n10_6.in
muchos,7,10,5000,instancias/muchos/n10_7.in
muchos,8,10,5000,instancias/muchos/n10_8.in
muchos,9,10,5000,instancias/muchos/n10_9.in
muchos,10,10,5000,instancias/muchos/n10_10.in
muchos,11,10,5000,instancias/muchos/n10_11.in
muchos,12,10,5000,instancias/muchos/n10_12.in
muchos,13,10,5000,instancias/muchos/n10_13.in
muchos,14,10,5000,instancias/muchos/n10_14.in
muchos,15,10,5000,instancias/muchos/n10_15.in
muchos,16,10,5000,instancias/muchos/n10_16.in
muchos,17,10,5000,instancias/muchos/n10_17.in
muchos,18,10,5000,instancias/muchos/n10_18.in
muchos,19,10,5000,instancias/muchos/n10_19.in
muchos,20,10,5000,instancias/muchos/n10_20.in
muchos,21,10,5000,instancias/muchos/n10_21.in
muchos,22,10,5000,instancias/muchos/n10_22.in
muchos,23,10,5000,instancias/muchos/n10_23.in
muchos,24,10,5000,instancias/muchos/n10_24.in
muchos,25,10,5000,instancias/muchos/n10_25.in
muchos,26,10,5000,instancias/muchos/n10_26.in
muchos,27,10,5000,instancias/muchos/n10_27.in
muchos,28,10,5000,instancias/muchos/n10_28.in
muchos,29,10,5000,instancias/muchos/n10_29.in
muchos,30,10,5000,instancias/muchos/n10_30.in
muchos,31,10,5000,instancias/muchos/n10_31.in
muchos,32,10,5000,instancias/muchos/n10_32.in
muchos,33,10,5000,instancias/muchos/n10_33.in
muchos,34,10,5000,instancias/muchos/n10_34.in
muchos,35,10,5000,instancias/muchos/n10_35.in
muchos,36,10,5000,instancias/muchos/n10_36.in
muchos,37,10,5000,instancias/muchos/n10_37.in
muchos,38,10,5000,instancias/muchos/n10_38.in
muchos,39,10,5000,instancias/muchos/n10_39.in
muchos,40,10,5000,instancias/muchos/n10_40.in
muchos,41,10,5000,instancias/muchos/n10_41.in
muchos,42,10,5000,instancias/muchos/n10_42.in
muchos,43,10,5000,instancias/muchos/n10_43.in
muchos,44,10,5000,instancias/muchos/n10_44.in
muchos,45,10,5000,instancias/muchos/n10_45.in
muchos,46,10,5000,instancias/muchos/n10_46.in
muchos,47,10,5000,instancias/muchos/n10_47.in
muchos,48,10,5000,instancias/muchos/n10_48.in
muchos,49,10,5000,instancias/muchos/n10_49.in
muchos,0,25,5000,instancias/muchos/n25_0.in
muchos,1,25,5000,instancias/muchos/n25_1.in
muchos,2,25,5000,instancias/muchos/n25_2.in
muchos,3,25,5000,instancias/muchos/n25_3.in
muchos,4,25,5000,instancias/muchos/n25_4.in
muchos,5,25,5000,instancias/muchos/n25_5.in
muchos,6,25,5000,instancias/muchos/n25_6.in
muchos,7,25,5000,instancias/muchos/n25_7.in
muchos,8,25,5000,instancias/muchos/n25_8.in
muchos,9,25,5000,instancias/muchos/n25_9.in
muchos,10,25,5000,instancias/muchos/n25_10.in
muchos,11,25,5000,instancias/muchos/n25_11.in
muchos,12,25,5000,instancias/muchos/n25_12.in
muchos,13,25,5000,instancias/muchos/n25_13.in
muchos,14,25,5000,instancias/muchos/n25_14.in
muchos,15,25,5000,instancias/muchos/n25_15.in
muchos,16,25,5000,instancias/muchos/n25_16.in
muchos,17,25,5000,instancias/muchos/n25_17.in
muchos,18,25,5000,instancias/muchos/n25_18.in
muchos,19,25,5000,instancias/muchos/n25_19.in
muchos,20,25,5000,instancias/muchos/n25_20.in
muchos,21,25,5000,instancias/muchos/n25_21.in
muchos,22,25,5000,instancias/muchos/n25_22.in
muchos,23,25,5000,instancias/muchos/n25_23.in
muchos,24,25,5000,instancias/muchos/n25_24.in
muchos,25,25,5000,instancias/muchos/n25_25.in
muchos,26,25,5000,instancias/muchos/n25_26.in
muchos,27,25,5000,instancias/muchos/n25_27.in
muchos,28,25,5000,instancias/muchos/n25_28.in
muchos,29,25,5000,instancias/muchos/n25_29.in
muchos,30,25,5000,instancias/muchos/n25_30.in
muchos,31,25,5000,instancias/muchos/n25_31.in
muchos,32,25,5000,instancias/muchos/n25_32.in
muchos,33,25,5000,instancias/muchos/n25_33.in
muchos,34,25,5000,instancias/muchos/n25_34.in
muchos,35,25,5000,instancias/muchos/n25_35.in
muchos,36,25,5000,instancias/muchos/n25_36.in
muchos,37,25,5000,instancias/muchos/n25_37.in
muchos,38,25,5000,instancias/muchos/n25_38.in
muchos,39,25,5000,instancias/muchos/n25_39.in
muchos,40,25,5000,instancias/muchos/n25_40.in
muchos,41,25,5000,instancias/muchos/n25_41.in
muchos,42,25,5000,instancias/muchos/n25_42.in
muchos,43,25,5000,instancias/muchos/n25_43.in
muchos,44,25,5000,instancias/muchos/n25_44.in
muchos,45,25,5000,instancias/muchos/n25_45.in
muchos,46,25,5000,instancias/muchos/n25_46.in
muchos,47,25,5000,instancias/muchos/n25_47.in
muchos,48,25,5000,instancias/muchos/n25_48.in
muchos,49,25,5000,instancias/muchos/n25_49.in
muchos,0,50,5000,instancias/muchos/n50_0.in
muchos,1,50,5000,instancias/muchos/n50_1.in
muchos,2,50,5000,instancias/muchos/n50_2.in
muchos,3,50,5000,instancias/muchos/n50_3.in
muchos,4,50,5000,instancias/muchos/n50_4.in
muchos,5,50,5000,instancias/muchos/n50_5.in
muchos,6,50,5000,instancias/muchos/n50_6.in
muchos,7,50,5000,instancias/muchos/n50_7.in
muchos,8,50,5000,instancias/muchos/n50_8.in
muchos,9,50,5000,instancias/muchos/n50_9.in
muchos,10,50,5000,instancias/muchos/n50_10.in
muchos,11,50,5000,instancias/muchos/n50_11.in
muchos,12,50,5000,instancias/muchos/n50_12.in
muchos,13,50,5000,instancias/muchos/n50_13.in
muchos,14,50,5000,instancias/muchos/n50_14.in
muchos,15,50,5000,instancias/muchos/n50_15.in
muchos,16,50,5000,instancias/muchos/n50_16.in
muchos,17,50,5000,instancias/muchos/n50_17.in
muchos,18,50,5000,instancias/muchos/n50_18.in
muchos,19,50,5000,instancias/muchos/n50_19.in
muchos,20,50,5000,instancias/muchos/n50_20.in
muchos,21,50,5000,instancias/muchos/n50_21.in
muchos,22,50,5000,instancias/muchos/n50_22.in
muchos,23,50,5000,instancias/muchos/n50_23.in
muchos,24,50,5000,instancias/muchos/n50_24.in
muchos,25,50,5000,instancias/muchos/n50_25.in
muchos,26,50,5000,instancias/muchos/n50_26.in
muchos,27,50,5000,instancias/muchos/n50_27.in
muchos,28,50,5000,instancias/muchos/n50_28.in
muchos,29,50,5000,instancias/muchos/n50_29.in
muchos,30,50,5000,instancias/muchos/n50_30.in
muchos,31,50,5000,instancias/muchos/n50_31.in
muchos,32,50,5000,instancias/muchos/n50_32.in
muchos,33,50,5000,instancias/muchos/n50_33.in
muchos,34,50,5000,instancias/muchos/n50_34.in
muchos,35,50,5000,instancias/muchos/n50_35.in
muchos,36,50,5000,instancias/muchos/n50_36.in
muchos,37,50,5000,instancias/muchos/n50_37.in
muchos,38,50,5000,instancias/muchos/n50_38.in
muchos,39,50,5000,instancias/muchos/n50_39.in
muchos,40,50,5000,instancias/muchos/n50_40.in
muchos,41,50,5000,instancias/muchos/n50_41.in
muchos,42,50,5000,instancias/muchos/n50_42.in
muchos,43,50,5000,instancias/muchos/n50_43.in
muchos,44,50,5000,instancias/muchos/n50_44.in
muchos,45,50,5000,instancias/muchos/n50_45.in
muchos,46,50,5000,instancias/muchos/n50_46.in
muchos,47,50,5000,instancias/muchos/n50_47.in
muchos,48,50,5000,instancias/muchos/n50_48.in
muchos,49,50,5000,instancias/muchos/n50_49.in
muchos,0,75,5000,instancias/muchos/n75_0.in
muchos,1,75,5000,instancias/muchos/n75_1.in
muchos,2,75,5000,instancias/muchos/n75_2.in
muchos,3,75,5000,instancias/muchos/n75_3.in
muchos,4,75,5000,instancias/muchos/n75_4.in
muchos,5,75,5000,instancias/muchos/n75_5.in
muchos,6,75,5000,instancias/muchos/n75_6.in
muchos,7,75,5000,instancias/muchos/n75_7.in
muchos,8,75,5000,instancias/muchos/n75_8.in
muchos,9,75,5000,instancias/muchos/n75_9.in
muchos,10,75,5000,instancias/muchos/n75_10.in
muchos,11,75,5000,instancias/muchos/n75_11.in
muchos,12,75,5000,instancias/muchos/n75_12.in
muchos,13,75,5000,instancias/muchos/n75_13.in
muchos,14,75,5000,instancias/muchos/n75_14.in
muchos,15,75,5000,instancias/muchos/n75_15.in
muchos,16,75,5000,instancias/muchos/n75_16.in
muchos,17,75,5000,instancias/muchos/n75_17.in
muchos,18,75,5000,instancias/muchos/n75_18.in
muchos,19,75,5000,instancias/muchos/n75_19.in
muchos,20,75,5000,instancias/muchos/n75_20.in
muchos,21,75,5000,instancias/muchos/n75_21.in
muchos,22,75,5000,instancias/muchos/n75_22.in
muchos,23,75,5000,instancias/muchos/n75_23.in
muchos,24,75,5000,instancias/muchos/n75_24.in
muchos,25,75,5000,instancias/muchos/n75_25.in
muchos,26,75,5000,instancias/muchos/n75_26.in
muchos,27,75,5000,instancias/muchos/n75_27.in
muchos,28,75,5000,instancias/muchos/n75_28.in
muchos,29,75,5000,instancias/muchos/n75_29.in
muchos,30,75,5000,instancias/muchos/n75_30.in
muchos,31,75,5000,instancias/muchos/n75_31.in
muchos,32,75,5000,instancias/muchos/n75_32.in
muchos,33,75,5000,instancias/muchos/n75_33.in
muchos,34,75,5000,instancias/muchos/n75_34.in
muchos,35,75,5000,instancias/muchos/n75_35.in
muchos,36,75,5000,instancias/muchos/n75_36.in
muchos,37,75,5000,instancias/muchos/n75_37.in
muchos,38,75,5000,instancias/muchos/n75_38.in
muchos,39,75,5000,instancias/muchos/n75_39.in
muchos,40,75,5000,instancias/muchos/n75_40.in
muchos,41,75,5000,instancias/muchos/n75_41.in
muchos,42,75,5000,instancias/muchos/n75_42.in
muchos,43,75,5000,instancias/muchos/n75_43.in
muchos,44,75,5000,instancias/muchos/n75_44.in
muchos,45,75,5000,instancias/muchos/n75_45.in
muchos,46,75,5000,instancias/muchos/n75_46.in
muchos,47,75,5000,instancias/muchos/n75_47.in
muchos,48,75,5000,instancias/muchos/n75_48.in
muchos,49,75,5000,instancias/muchos/n75_49.in
muchos,0,100,5000,instancias/muchos/n100_0.in
muchos,1,100,5000,instancias/muchos/n100_1.in
muchos,2,100,5000,instancias/muchos/n100_2.in
muchos,3,100,5000,instancias/muchos/n100_3.in
muchos,4,100,5000,instancias/muchos/n100_4.in
muchos,5,100,5000,instancias/muchos/n100_5.in
muchos,6,100,5000,instancias/muchos/n100_6.in
muchos,7,100,5000,instancias/muchos/n100_7.in
muchos,8,100,5000,instancias/muchos/n100_8.in
muchos,9,100,5000,instancias/muchos/n100_9.in
muchos,10,100,5000,instancias/muchos/n100_10.in
muchos,11,100,5000,instancias/muchos/n100_11.in
muchos,12,100,5000,instancias/muchos/n100_12.in
muchos,13,100,5000,instancias/muchos/n100_13.in
muchos,14,100,5000,instancias/muchos/n100_14.in
muchos,15,100,5000,instancias/muchos/n100_15.in
muchos,16,100,5000,instancias/muchos/n100_16.in
muchos,17,100,5000,instancias/muchos/n100_17.in
muchos,18,100,5000,instancias/muchos/n100_18.in
muchos,19,100,5000,instancias/muchos/n100_19.in
muchos,20,100,5000,instancias/muchos/n100_20.in
muchos,21,100,5000,instancias/muchos/n100_21.in
muchos,22,100,5000,instancias/muchos/n100_22.in
muchos,23,100,5000,instancias/muchos/n100_23.in
muchos,24,100,5000,instancias/muchos/n100_24.in
muchos,25,100,5000,instancias/muchos/n100_25.in
muchos,26,100,5000,instancias/muchos/n100_26.in
muchos,27,100,5000,instancias/muchos/n100_27.in
muchos,28,100,5000,instancias/muchos/n100_28.in
muchos,29,100,5000,instancias/muchos/n100_29.in
muchos,30,100,5000,instancias/muchos/n100_30.in
muchos,31,100,5000,instancias/muchos/n100_31.in
muchos,32,100,5000,instancias/muchos/n100_32.in
muchos,33,100,5000,instancias/muchos/n100_33.in
muchos,34,100,5000,instancias/muchos/n100_34.in
muchos,35,100,5000,instancias/muchos/n100_35.in
muchos,36,100,5000,instancias/muchos/n100_36.in
muchos,37,100,5000,instancias/muchos/n100_37.in
muchos,38,100,5000,instancias/muchos/n100_38.in
muchos,39,100,5000,instancias/muchos/n100_39.in
muchos,40,100,5000,instancias/muchos/n100_40.in
muchos,41,100,5000,instancias/muchos/n100_41.in
muchos,42,100,5000,instancias/muchos/n100_42.in
muchos,43,100,5000,instancias/muchos/n100_43.in
muchos,44,100,5000,instancias/muchos/n100_44.in
muchos,45,100,5000,instancias/muchos/n100_45.in
muchos,46,100,5000,instancias/muchos/n100_46.in
muchos,47,100,5000,instancias/muchos/n100_47.in
muchos,48,100,5000,instancias/muchos/n100_48.in
muchos,49,100,5000,instancias/muchos/n100_49.in
muchos,0,250,5000,instancias/muchos/n250_0.in
muchos,1,250,5000,instancias/muchos/n250_1.in
muchos,2,250,5000,instancias/muchos/n250_2.in
muchos,3,250,5000,instancias/muchos/n250_3.in
muchos,4,250,5000,instancias/muchos/n250_4.in
muchos,5,250,5000,instancias/muchos/n250_5.in
muchos,6,250,5000,instancias/muchos/n250_6.in
muchos,7,250,5000,instancias/muchos/n250_7.in
muchos,8,250,5000,instancias/muchos/n250_8.in
muchos,9,250,5000,instancias/muchos/n250_9.in
muchos,10,250,5000,instancias/muchos/n250_10.in
muchos,11,250,5000,instancias/muchos/n250_11.in
muchos,12,250,5000,instancias/muchos/n250_12.in
muchos,13,250,5000,instancias/muchos/n250_13.in
muchos,14,250,5000,instancias/muchos/n250_14.in
muchos,15,250,5000,instancias/muchos/n250_15.in
muchos,16,250,5000,instancias/muchos/n250_16.in
muchos,17,250,5000,instancias/muchos/n250_17.in
muchos,18,250,5000,instancias/muchos/n250_18.in
muchos,19,250,5000,instancias/muchos/n250_19.in
muchos,20,250,5000,instancias/muchos/n250_20.in
muchos,21,250,5000,instancias/muchos/n250_21.in
muchos,22,250,5000,instancias/muchos/n250_22.in
muchos,23,250,5000,instancias/muchos/n250_23.in
muchos,24,250,5000,instancias/muchos/n250_24.in
muchos,25,250,5000,instancias/muchos/n250_25.in
muchos,26,250,5000,instancias/muchos/n250_26.in
muchos,27,250,5000,instancias/muchos/n250_27.in
muchos,28,250,5000,instancias/muchos/n250_28.in
muchos,29,250,5000,instancias/muchos/n250_29.in
muchos,30,250,5000,instancias/muchos/n250_30.in
muchos,31,250,5000,instancias/muchos/n250_31.in
muchos,32,250,5000,instancias/muchos/n250_32.in
muchos,33,250,5000,instancias/muchos/n250_33.in
muchos,34,250,5000,instancias/muchos/n250_34.in
muchos,35,250,5000,instancias/muchos/n250_35.in
muchos,36,250,5000,instancias/muchos/n250_36.in
muchos,37,250,5000,instancias/muchos/n250_37.in
muchos,38,250,5000,instancias/muchos/n250_38.in
muchos,39,250,5000,instancias/muchos/n250_39.in
muchos,40,250,5000,instancias/muchos/n250_40.in
muchos,41,250,5000,instancias/muchos/n250_41.in
muchos,42,250,5000,instancias/muchos/n250_42.in
muchos,43,250,5000,instancias/muchos/n250_43.in
muchos,44,250,5000,instancias/muchos/n250_44.in
muchos,45,250,5000,instancias/muchos/n250_45.in
muchos,46,250,5000,instancias/muchos/n250_46.in
muchos,47,250,5000,instancias/muchos/n250_47.in
muchos,48,250,5000,instancias/muchos/n250_48.in
muchos,49,250,5000,instancias/muchos/n250_49.in
muchos,0,500,5000,instancias/muchos/n500_0.in
muchos,1,500,5000,instancias/muchos/n500_1.in
muchos,2,500,5000,instancias/muchos/n500_2.in
muchos,3,500,5000,instancias/muchos/n500_3.in
muchos,4,500,5000,instancias/muchos/n500_4.in
muchos,5,500,5000,instancias/muchos/n500_5.in
muchos,6,500,5000,instancias/muchos/n500_6.in
muchos,7,500,5000,instancias/muchos/n500_7.in
muchos,8,500,5000,instancias/muchos/n500_8.in
muchos,9,500,5000,instancias/muchos/n500_9.in
muchos,10,500,5000,instancias/muchos/n500_10.in
muchos,11,500,5000,instancias/muchos/n500_11.in
muchos,12,500,5000,instancias/muchos/n500_12.in
muchos,13,500,5000,instancias/muchos/n500_13.in
muchos,14,500,5000,instancias/muchos/n500_14.in
muchos,15,500,5000,instancias/muchos/n500_15.in
muchos,16,500,5000,instancias/muchos/n500_16.in
muchos,17,500,5000,instancias/muchos/n500_17.in
muchos,18,500,5000,instancias/muchos/n500_18.in
muchos,19,500,5000,instancias/muchos/n500_19.in
muchos,20,500,5000,instancias/muchos/n500_20.in
muchos,21,500,5000,instancias/muchos/n500_21.in
muchos,22,500,5000,instancias/muchos/n500_22.in
muchos,23,500,5000,instancias/muchos/n500_23.in
muchos,24,500,5000,instancias/muchos/n500_24.in
muchos,25,500,5000,instancias/muchos/n500_25.in
muchos,26,500,5000,instancias/muchos/n500_26.in
muchos,27,500,5000,instancias/muchos/n500_27.in
muchos,28,500,5000,instancias/muchos/n500_28.in
muchos,29,500,5000,instancias/muchos/n500_29.in
muchos,30,500,5000,instancias/muchos/n500_30.in
muchos,31,500,5000,instancias/muchos/n500_31.in
muchos,32,500,5000,instancias/muchos/n500_32.in
muchos,33,500,5000,instancias/muchos/n500_33.in
muchos,34,500,5000,instancias/muchos/n500_34.in
muchos,35,500,5000,instancias/muchos/n500_35.in
muchos,36,500,5000,instancias/muchos/n500_36.in
muchos,37,500,5000,instancias/muchos/n500_37.in
muchos,38,500,5000,instancias/muchos/n500_38.in
muchos,39,500,5000,instancias/muchos/n500_39.in
muchos,40,500,5000,instancias/muchos/n500_40.in
muchos,41,500,5000,instancias/muchos/n500_41.in
muchos,42,500,5000,instancias/muchos/n500_42.in
muchos,43,500,5000,instancias/muchos/n500_43.in
muchos,44,500,5000,instancias/muchos/n500_44.in
muchos,45,500,5000,instancias/muchos/n500_45.in
muchos,46,500,5000,instancias/muchos/n500_46.in
muchos,47,500,5000,instancias/muchos/n500_47.in
muchos,48,500,5000,instancias/muchos/n500_48.in
muchos,49,500,5000,instancias/muchos/n500_49.in
muchos,0,1000,5000,instancias/muchos/n1000_0.in
muchos,1,1000,5000,instancias/muchos/n1000_1.in
muchos,2,1000,5000,instancias/muchos/n1000_2.in
muchos,3,1000,5000,instancias/muchos/n1000_3.in
muchos,4,1000,5000,instancias/muchos/n1000_4.in
muchos,5,1000,5000,instancias/muchos/n1000_5.in
muchos,6,1000,5000,instancias/muchos/n1000_6.in
muchos,7,1000,5000,instancias/muchos/n1000_7.in
muchos,8,1000,5000,instancias/muchos/n1000_8.in
muchos,9,1000,5000,instancias/muchos/n1000_9.in
muchos,10,1000,5000,instancias/muchos/n1000_10.in
muchos,11,1000,5000,instancias/muchos/n1000_11.in
muchos,12,1000,5000,instancias/muchos/n1000_12.in
muchos,13,1000,5000,instancias/muchos/n1000_13.in
muchos,14,1000,5000,instancias/muchos/n1000_14.in
muchos,15,1000,5000,instancias/muchos/n1000_15.in
muchos,16,1000,5000,instancias/muchos/n1000_16.in
muchos,17,1000,5000,instancias/muchos/n1000_17.in
muchos,18,1000,5000,instancias/muchos/n1000_18.in
muchos,19,1000,5000,instancias/muchos/n1000_19.in
muchos,20,1000,5000,instancias/muchos/n1000_20.in
muchos,21,1000,5000,instancias/muchos/n1000_21.in
muchos,22,1000,5000,instancias/muchos/n1000_22.in
muchos,23,1000,5000,instancias/muchos/n1000_23.in
muchos,24,1000,5000,instancias/muchos/n1000_24.in
muchos,25,1000,5000,instancias/muchos/n1000_25.in
muchos,26,1000,5000,instancias/muchos/n1000_26.in
muchos,27,1000,5000,instancias/muchos/n1000_27.in
muchos,28,1000,5000,instancias/muchos/n1000_28.in
muchos,29,1000,5000,instancias/muchos/n1000_29.in
muchos,30,1000,5000,instancias/muchos/n1000_30.in
muchos,31,1000,5000,instancias/muchos/n1000_31.in
muchos,32,1000,5000,instancias/muchos/n1000_32.in
muchos,33,1000,5000,instancias/muchos/n1000_33.in
