dataset,n,R,metodo,tiempo
fullRandom,4508,54,DP,0.8372
fullRandom,2327,2581,DP,11.506
fullRandom,4081,4277,DP,29.7605
fullRandom,4289,4093,DP,29.4797
fullRandom,953,4322,DP,8.7777
fullRandom,4330,4853,DP,41.4236
fullRandom,116,2569,DP,0.5423
fullRandom,3530,2193,DP,14.1723
fullRandom,3932,381,DP,3.0634
fullRandom,2863,1299,DP,6.8591
fullRandom,3820,3468,DP,26.3966
fullRandom,4451,104,DP,1.2151
fullRandom,2280,2987,DP,14.1116
fullRandom,2509,3662,DP,16.459
fullRandom,2605,2640,DP,11.3815
fullRandom,2535,285,DP,1.227
fullRandom,4662,499,DP,4.2253
fullRandom,4077,3785,DP,25.499
fullRandom,4323,3305,DP,22.6328
fullRandom,1018,760,DP,1.2275
fullRandom,2258,4108,DP,15.3723
fullRandom,1972,1247,DP,3.8473
fullRandom,441,1899,DP,2.3281
fullRandom,2906,588,DP,3.5624
fullRandom,4280,1720,DP,17.4342
fullRandom,3710,4328,DP,32.4679
fullRandom,4885,76,DP,1.6294
fullRandom,4522,2017,DP,16.6344
fullRandom,191,4633,DP,1.6121
fullRandom,1004,456,DP,0.7847
fullRandom,3946,2840,DP,19.8901
fullRandom,4616,3335,DP,30.7614
fullRandom,3451,1983,DP,14.2153
fullRandom,2359,1089,DP,4.2408
fullRandom,2476,2339,DP,9.8781
fullRandom,4351,3342,DP,29.1049
fullRandom,3101,3497,DP,21.4962
fullRandom,4299,757,DP,6.5268
fullRandom,4877,1235,DP,12.5369
fullRandom,303,1956,DP,0.9289
fullRandom,3493,768,DP,4.9291
fullRandom,3574,13,DP,0.3881
fullRandom,459,1339,DP,0.9593
fullRandom,4725,2795,DP,23.1585
fullRandom,3902,736,DP,5.2281
fullRandom,581,413,DP,0.3602
fullRandom,2372,4395,DP,18.6973
fullRandom,2873,1217,DP,6.0465
fullRandom,1980,3631,DP,12.3098
fullRandom,1150,2976,DP,5.9961
fullRandom,3190,1925,DP,10.8576
fullRandom,2419,3754,DP,16.9218
fullRandom,345,2655,DP,1.6779
fullRandom,2790,4804,DP,24.8321
fullRandom,3923,4892,DP,35.6435
fullRandom,2159,242,DP,0.965
fullRandom,2851,183,DP,1.3287
fullRandom,756,1524,DP,1.8286
fullRandom,1072,1243,DP,2.2858
fullRandom,1909,3029,DP,10.0828
fullRandom,1992,3195,DP,12.0172
fullRandom,2960,3321,DP,16.7205
fullRandom,4552,3920,DP,34.2365
fullRandom,3607,2887,DP,19.5743
fullRandom,1095,3633,DP,6.9617
fullRandom,1801,223,DP,0.9368
fullRandom,3366,2093,DP,12.7915
fullRandom,3291,3712,DP,23.4606
fullRandom,4060,3398,DP,26.2085
fullRandom,2419,2450,DP,10.1604
fullRandom,1466,4297,DP,11.4193
fullRandom,81,197,DP,0.0274
fullRandom,3326,3839,DP,24.5533
fullRandom,1190,1489,DP,3.0849
fullRandom,3635,536,DP,3.7052
fullRandom,1930,2349,DP,8.1563
fullRandom,4457,784,DP,6.1664
fullRandom,4839,350,DP,3.6129
fullRandom,2725,1899,DP,9.1676
fullRandom,4832,4,DP,0.5298
fullRandom,2263,1230,DP,5.0375
fullRandom,4575,681,DP,6.3269
fullRandom,709,3020,DP,4.8753
fullRandom,335,50,DP,0.08
fullRandom,2538,667,DP,3.6824
fullRandom,4044,815,DP,8.204
fullRandom,768,4166,DP,16.0865
fullRandom,361,739,DP,0.5693
fullRandom,1170,1042,DP,2.6421
fullRandom,369,4546,DP,4.065
fullRandom,3224,237,DP,1.563
fullRandom,4460,1598,DP,14.6354
fullRandom,142,1576,DP,0.4969
fullRandom,1394,812,DP,3.7441
fullRandom,610,16,DP,0.3742
fullRandom,3602,2352,DP,21.8542
fullRandom,3352,427,DP,3.2106
fullRandom,885,1964,DP,3.549
fullRandom,4354,146,DP,1.7111
fullRandom,3535,3984,DP,39.8048
fullRandom,4007,254,DP,2.5457
fullRandom,4665,4007,DP,40.7893
fullRandom,2765,3410,DP,23.344
fullRandom,1696,488,DP,1.7104
fullRandom,4790,2993,DP,38.3897
fullRandom,1261,3599,DP,8.8603
fullRandom,4075,4784,DP,41.8898
fullRandom,3009,4326,DP,34.8092
fullRandom,4012,3079,DP,28.5023
fullRandom,1741,462,DP,1.8722
fullRandom,1461,2029,DP,6.0548
fullRandom,100,3055,DP,1.0474
fullRandom,4442,753,DP,7.2648
fullRandom,28,4926,DP,0.2737
fullRandom,2011,4437,DP,16.2558
fullRandom,3309,4133,DP,27.6071
fullRandom,1369,2740,DP,6.5902
fullRandom,493,3382,DP,4.131
fullRandom,1264,1659,DP,5.6797
fullRandom,4145,2764,DP,22.8357
fullRandom,2164,324,DP,2.0788
fullRandom,3361,1279,DP,7.7152
fullRandom,4626,4528,DP,44.2821
fullRandom,2017,1162,DP,4.7784
fullRandom,4826,2009,DP,16.9165
fullRandom,1147,610,DP,1.3851
fullRandom,1461,1172,DP,4.2058
fullRandom,1306,4523,DP,15.0236
fullRandom,921,3146,DP,5.1304
fullRandom,1682,1585,DP,4.4099
fullRandom,1059,3063,DP,6.5073
fullRandom,2326,752,DP,3.0953
fullRandom,327,4979,DP,2.9435
fullRandom,2315,3695,DP,16.9269
fullRandom,4752,3011,DP,26.558
fullRandom,192,2493,DP,0.8499
fullRandom,3503,1051,DP,6.491
fullRandom,1759,4811,DP,16.5653
fullRandom,3759,4595,DP,31.4747
fullRandom,1941,2413,DP,9.5493
fullRandom,1553,167,DP,0.6766
fullRandom,1106,2729,DP,5.4159
fullRandom,4613,2306,DP,19.3219
fullRandom,3173,1566,DP,10.6085
fullRandom,2831,2153,DP,10.5946
fullRandom,3701,184,DP,1.4721
fullRandom,3247,4134,DP,23.7978
fullRandom,3406,3996,DP,25.3479
fullRandom,288,4154,DP,2.0322
fullRandom,1923,4887,DP,16.1108
fullRandom,2128,289,DP,1.1555
fullRandom,1598,3244,DP,8.973
fullRandom,2556,4340,DP,18.5845
fullRandom,4107,2743,DP,23.3595
fullRandom,3142,3695,DP,20.1777
fullRandom,120,4050,DP,1.3266
fullRandom,432,1349,DP,1.0886
fullRandom,797,1724,DP,2.5972
fullRandom,3105,2354,DP,16.6964
fullRandom,911,2338,DP,3.5851
fullRandom,4646,592,DP,5.2579
fullRandom,3074,1433,DP,10.3638
fullRandom,205,2783,DP,0.9647
fullRandom,2392,519,DP,2.234
fullRandom,2206,808,DP,3.3099
fullRandom,838,319,DP,0.431
fullRandom,868,1445,DP,2.784
fullRandom,4998,2769,DP,28.0947
fullRandom,4617,1889,DP,14.9223
fullRandom,4665,4054,DP,37.1609
fullRandom,1495,4406,DP,14.0934
fullRandom,3034,2761,DP,14.3665
fullRandom,422,2543,DP,1.7545
fullRandom,3266,392,DP,2.1949
fullRandom,2217,1076,DP,3.6189
fullRandom,942,2715,DP,5.0684
fullRandom,3411,4825,DP,36.7782
fullRandom,908,3932,DP,7.21
fullRandom,1047,3156,DP,5.9851
fullRandom,639,3733,DP,4.8134
fullRandom,3162,1056,DP,6.0538
fullRandom,844,476,DP,0.6702
fullRandom,1737,3034,DP,9.9697
fullRandom,2241,1091,DP,4.1752
fullRandom,703,2061,DP,2.6297
fullRandom,1457,980,DP,4.0698
fullRandom,3774,875,DP,9.6507
fullRandom,2040,3116,DP,13.2206
fullRandom,450,1409,DP,1.02
fullRandom,2167,4209,DP,19.2245
fullRandom,2918,4623,DP,27.7592
fullRandom,93,3233,DP,0.5357
fullRandom,3326,3316,DP,38.6638
fullRandom,3944,4228,DP,37.5485
fullRandom,3218,470,DP,3.622
fullRandom,2929,143,DP,1.9686
fullRandom,4735,3683,DP,121.091
fullRandom,3542,1256,DP,8.0965
fullRandom,2836,3207,DP,20.8615
fullRandom,3152,915,DP,5.3003
fullRandom,4380,1729,DP,18.8208
fullRandom,4915,3563,DP,35.3719
fullRandom,1291,410,DP,0.9625
fullRandom,764,91,DP,0.1581
fullRandom,2826,4205,DP,23.6166
fullRandom,3399,1052,DP,6.5908
fullRandom,4971,2878,DP,31.2003
fullRandom,4041,842,DP,10.0609
fullRandom,672,1562,DP,2.7883
fullRandom,3023,1732,DP,16.3822
fullRandom,2208,1982,DP,9.4646
fullRandom,1031,3237,DP,7.3358
fullRandom,768,359,DP,0.4997
fullRandom,4419,3277,DP,29.5226
fullRandom,2578,4590,DP,39.215
fullRandom,2491,4612,DP,26.2053
fullRandom,3118,2487,DP,12.9049
fullRandom,1678,2825,DP,8.2279
fullRandom,1014,2272,DP,3.8856
fullRandom,2477,888,DP,3.7037
fullRandom,3903,3254,DP,22.847
fullRandom,2402,1904,DP,7.5366
fullRandom,183,3651,DP,1.2033
fullRandom,3075,2175,DP,16.331
fullRandom,1293,1541,DP,3.3837
fullRandom,3973,700,DP,5.7613
fullRandom,1256,4782,DP,16.0024
fullRandom,3522,2987,DP,50.4988
fullRandom,4565,2194,DP,40.8157
fullRandom,3614,2927,DP,24.6796
fullRandom,3867,3937,DP,29.9446
fullRandom,3267,642,DP,5.1297
fullRandom,444,3318,DP,2.5593
fullRandom,1438,3283,DP,9.9704
fullRandom,4350,2126,DP,21.7871
fullRandom,418,2694,DP,3.1057
fullRandom,1852,1110,DP,5.4165
fullRandom,3518,4047,DP,27.48
fullRandom,4822,4257,DP,34.0895
fullRandom,416,1134,DP,1.1905
fullRandom,4414,488,DP,6.4327
fullRandom,2518,3858,DP,25.0162
fullRandom,3055,4518,DP,27.2059
fullRandom,981,4711,DP,16.6602
fullRandom,1753,2740,DP,15.942
fullRandom,2688,221,DP,1.2378
fullRandom,840,69,DP,0.1358
fullRandom,2269,3880,DP,17.7374
fullRandom,2607,583,DP,2.932
fullRandom,4577,599,DP,5.0937
fullRandom,2824,1169,DP,5.573
fullRandom,3428,1683,DP,10.668
fullRandom,1879,2100,DP,6.7008
fullRandom,2288,735,DP,3.4052
fullRandom,3955,4769,DP,35.762
fullRandom,2281,553,DP,4.6485
fullRandom,4538,2180,DP,17.6005
fullRandom,2560,2563,DP,12.5749
fullRandom,1081,2054,DP,3.7081
fullRandom,4833,752,DP,9.4335
fullRandom,4173,3570,DP,25.3615
fullRandom,1986,650,DP,3.1521
fullRandom,1130,1801,DP,3.5806
fullRandom,1325,4891,DP,11.3623
fullRandom,2290,1643,DP,13.1576
fullRandom,138,4627,DP,1.5794
fullRandom,2499,449,DP,2.2696
fullRandom,731,4516,DP,6.4855
fullRandom,1064,3579,DP,6.9914
fullRandom,1922,3101,DP,11.9964
fullRandom,3794,4036,DP,45.0271
fullRandom,467,2427,DP,3.4599
fullRandom,2979,1276,DP,14.9244
fullRandom,1894,680,DP,4.0455
fullRandom,4064,816,DP,8.5011
fullRandom,4863,4428,DP,45.372
fullRandom,2246,525,DP,5.4848
fullRandom,2063,1030,DP,8.4274
fullRandom,2111,1957,DP,19.7228
fullRandom,775,4208,DP,9.8489
fullRandom,1310,2511,DP,9.1069
fullRandom,3025,4085,DP,27.0226
fullRandom,3585,3281,DP,32.8597
fullRandom,692,1608,DP,2.3821
fullRandom,4978,2256,DP,21.4971
fullRandom,28,2766,DP,0.1666
fullRandom,2825,3799,DP,20.972
fullRandom,4720,2886,DP,24.8297
fullRandom,1973,1429,DP,5.1099
fullRandom,3334,1499,DP,10.2257
fullRandom,247,2552,DP,1.1389
fullRandom,40,2849,DP,0.175
fullRandom,1344,88,DP,0.3061
fullRandom,1842,3221,DP,11.3948
fullRandom,2311,1136,DP,4.341
fullRandom,273,1684,DP,0.8851
fullRandom,4399,322,DP,2.9168
fullRandom,233,3707,DP,1.4477
fullRandom,3491,955,DP,5.8949
fullRandom,4597,1366,DP,10.6166
fullRandom,1339,3481,DP,8.7221
fullRandom,2217,3992,DP,18.3797
fullRandom,2151,3161,DP,19.996
fullRandom,2592,773,DP,16.7179
fullRandom,3685,3008,DP,20.9807
fullRandom,4690,840,DP,7.1786
fullRandom,4540,3109,DP,25.976
fullRandom,293,4344,DP,2.3424
fullRandom,4482,4748,DP,41.8609
fullRandom,3574,1958,DP,12.3223
fullRandom,2698,2791,DP,12.8757
fullRandom,468,4755,DP,5.7605
fullRandom,4547,1335,DP,14.7463
fullRandom,3711,2524,DP,22.9896
fullRandom,1510,2333,DP,5.9725
fullRandom,3250,184,DP,1.1926
fullRandom,4188,1650,DP,19.9762
fullRandom,1481,3694,DP,13.6659
fullRandom,4790,4623,DP,45.3324
fullRandom,3307,422,DP,2.8566
fullRandom,3012,3323,DP,20.044
fullRandom,3852,1490,DP,9.3932
fullRandom,1055,2832,DP,4.9132
fullRandom,1071,3673,DP,6.8597
fullRandom,2330,2113,DP,11.5869
fullRandom,1123,2658,DP,5.5013
fullRandom,4428,3981,DP,35.4358
fullRandom,4481,2628,DP,31.7917
fullRandom,2613,3055,DP,15.3009
fullRandom,1443,37,DP,0.2547
fullRandom,3616,1464,DP,12.0258
fullRandom,3253,665,DP,3.9839
fullRandom,2879,213,DP,1.4741
fullRandom,3241,3975,DP,29.3991
fullRandom,3547,4017,DP,23.2577
fullRandom,1414,4972,DP,13.0511
fullRandom,376,3184,DP,3.0196
fullRandom,3852,1527,DP,11.4206
fullRandom,2334,3831,DP,17.0591
uniformeR,809,1,DP,0.0902
uniformeR,4927,1,DP,1.1996
uniformeR,2423,1,DP,0.2276
uniformeR,4361,1,DP,0.3247
uniformeR,3561,1,DP,0.3247
uniformeR,491,1,DP,0.0329
uniformeR,3875,1,DP,0.2729
uniformeR,3257,1,DP,0.2494
uniformeR,4663,1,DP,0.3408
uniformeR,4637,1,DP,0.3813
uniformeR,109,1,DP,0.0074
uniformeR,668,1,DP,0.048
uniformeR,1859,1,DP,0.1376
uniformeR,3515,1,DP,0.2582
uniformeR,329,1,DP,0.0239
uniformeR,2209,1,DP,0.1564
uniformeR,3196,1,DP,0.2483
uniformeR,4242,1,DP,0.3049
uniformeR,171,1,DP,0.0123
